"order_item_id","order_id","created_at","order_status","order_item_quantity","categories","flubit_item_price","merchant_id","product_name","competior_scraped_price","product_ranking"
863920,796519,"2017-10-25 23:54:54","dispatched",1,"[\"Home & Garden\",\"Home & Garden\"]",7.62,"9485b21d-dad7-45be-845e-de8d595d0f8c","Dreamscene Gorgeous Glitz Diamond Sparkle Duvet Cover Bedding Set, Black, Double",18.70,NULL
863919,796518,"2017-10-25 23:05:54","processing",1,"[\"Software\"]",12.81,"a3a0657a-6e7a-4a47-a6e1-a7ddb3b93df9","Need For Speed (PS4)",26.00,31.22
863918,796518,"2017-10-25 23:05:54","processing",1,"[\"Home & Garden\"]",12.99,"a4361865-1f0d-4297-bdc4-9470668e2f4c","JVL Rectangular Striped Fabric Lidded Storage Basket Boxes, Set of 3, Red",24.47,NULL
863917,796518,"2017-10-25 23:05:54","dispatched",1,"[\"Software\",\"Software\"]",21.03,"462f65ed-ca53-42a5-b451-c95a44a6ff1c","The Sims 4 - Standard Edition",33.69,67
863916,796517,"2017-10-25 22:57:29","processing",1,"[\"Arts & Entertainment\"]",21.28,"63d9c947-f53f-4b56-b26f-9259ddcc32d4","Accuq uilt 55315 Star 8 Point Die by Sarah Vedeler",41.89,NULL
863915,796516,"2017-10-25 22:46:41","dispatched",1,"[\"Electronics\"]",16.71,"73cdf533-f79b-4c8c-af77-c806cdf2b242","Dynamode DYNA-DH-101LTX-RD Bluetooth Stereo Headphone with LCD Display and Built-in Microphone",29.99,NULL
863914,796515,"2017-10-25 22:37:20","dispatched",1,"[\"Home & Garden\"]",22.15,"d84b53c8-4e0d-4f80-ba23-2502278f1e11","Hoover SP60DSR6 Handy Rechargeable Cordless Handheld Vacuum Cleaner, 6 V",29.99,NULL
863913,796514,"2017-10-25 22:22:34","dispatched",1,"[\"Books\"]",8.63,"7368e5c8-4817-4b87-ae9e-72565c1b8db6","7 Steps To A Pain-Free Life: How to Rapidly Relieve Back, Neck and Shoulder Pain",15.99,22.56
863912,796513,"2017-10-25 22:01:23","processing",1,"[\"Office Supplies\"]",9.96,"7368e5c8-4817-4b87-ae9e-72565c1b8db6","Moleskine Extra Large Prussian Blue Hard Ruled Notebook",14.34,16.42
863911,796512,"2017-10-25 21:55:22","processing",1,"[\"Software\",\"Software\"]",12.27,"a3a0657a-6e7a-4a47-a6e1-a7ddb3b93df9","MX Vs. ATV: Supercross Encore (Xbox One)",18.00,22.56
