,title,article_type,date,author,author_ip,push_amount,boo_amount,arrow_amount,article_url,article,response,index_url,id
0,[公告] Soft_Job 板試閱,公告,2007-06-14 14:18:43,Junchoon,,3,0,2,https://www.ptt.cc/bbs/Soft_Job/M.1181801925.A.86E.html,"
   Soft_Job 板申請開板連署達到門檻
   即日起開板試閱三個月
   由 choufeng 擔任板主
   歡迎各位使用者多多給予支持
                                Junchoon
--
申請新板
申請原因:
資訊服務與軟體開發相關產業一直是國內力求發展的重點，但礙於
於種種因素(教育、經濟、政治...等)，個人、公司甚至到國際間
都缺乏相當的競爭力和資源。本板開設希望無論你是在職場上或是
學生，都能夠提出你的經驗和見解，一起深入的討論。幫助後面的
學弟妹、還沒進入職場的新鮮人，以提升我們的競爭力！
----------支持----------
  1.choufeng       雖然有科技版了,但本版以軟體為主!   來源:125.230.167.127
  2.nooin          希望能有MIS能討論系統規劃的地方..  來源:222.156.65.114
  3.JrGbb          需要一個軟體版~(￣▽￣)~(＿△＿)~  來源:140.113.93.70
  4.trappings      科技工作版太雜了 可把軟體工作獨立  來源:220.130.149.223
  5.gorden00       It's useful.                       來源:140.115.204.158
  6.PRAM           希望能有個專門討論軟體產業的地方   來源:220.132.163.180
  7.erichugh       我是資工人 當然希望有個專版        來源:220.134.130.211
  8.sandra002002   非常贊同此板宗旨！                 來源:140.112.115.2
  9.LunaFox        軟體資訊業有其被重視的必要性       來源:59.124.169.160
 10.chenlh         支持也需要這個看板所討論的資訊     來源:140.116.72.165
 11.fish39         將進入資訊業                       來源:140.120.108.99
 12.diceboy        有這個版的出現 資訊業者可互相討論  來源:220.132.250.197
 13.joyceT         資訊人一起來!                      來源:140.116.246.224
 14.SMARTSMART     很專業的版.....支持一下            來源:140.116.117.35
 15.VOT1077        資訊業人士幫忙贊成一下!!           來源:220.130.153.7
 16.imdbob2002     對於原因深表贊同!                  來源:59.115.177.30
 17.tonyhsie       以後也是軟體工作者 ^^              來源:140.112.28.90
 18.lcyeh          這是軟體人的福音，有其必要性       來源:220.136.178.246
 19.synd           軟體人民站起來～～                 來源:124.10.49.90
 20.dspswen        我從企劃跳資訊　就是因為這工作好找 來源:61.63.23.185
 21.mandj          本身也是軟體工作者:)               來源:202.86.129.136
 22.fyodor         資工人支持                         來源:140.118.202.121
 23.greengoblin    能有一個專門討論軟體的地方不錯     來源:218.165.120.240
 24.wt             需要有個討論軟體產業的地方         來源:218.167.16.57
 25.fungku01       支持連署理由                       來源:61.217.213.165
 26.Bluesdan       申請理由出發點很棒                 來源:140.130.101.3
 27.TAMSHUI        即將進入軟體業 一定要支持一下的:)  來源:61.228.62.105
 28.boyu888        SW工程師,所以支持                  來源:220.130.6.250
 29.Jason09        自己也是立志走軟體業的一員         來源:218.172.104.100
 30.horngsh        軟體是台灣翻身的契機, 個人始終相信 來源:59.126.181.10
 31.hellolucky     我需要這個版 因為是我未來的工作    來源:211.74.99.137
 32.Boming         資工人的支持~!  我需要這個版 :p    來源:122.124.7.228
 33.barbq          身為本科系,樂見有個專門的園地      來源:210.64.83.91
 34.realmojo       身為資訊人 怎能不幫忙              來源:218.170.25.19
 35.meowhui        支持軟體與硬體為主流的tech_job分開 來源:61.57.131.72
 36.Giaji          贊成 希望能有相關經驗的人分享專業  來源:61.217.29.167
 37.Harifucks      早就需要存軟體工作版               來源:219.81.151.68
 38.amazed312      支持! 台灣軟體業站起來!            來源:203.70.98.165
 39.joyusha        要出社會了, 希望跟前輩多分享經驗.  來源:163.18.53.151
 40.mike0226       同為資訊人 推                      來源:59.121.18.179
 41.vgod           想要有這個板很久啦~                來源:140.112.30.26
 42.justben        退伍以後可能要靠這個版找飯吃了     來源:59.117.179.184
 43.jackiey        同為資迅人 當然要支持啦!!!         來源:61.230.6.88
 44.majolicass     資管人推                           來源:203.70.78.85
 45.ppc            支持!                              來源:61.230.228.211
 46.whoelse        希望能有地方討論軟體相關工作～     來源:211.74.231.106
 47.ngulin0911     支持~~台灣軟體業加油               來源:68.83.107.156
 48.rainarale      gogogo                             來源:211.74.216.10
 49.disFabulous    加油 :)                            來源:218.165.100.220
 50.deepdish       韓國軟體業產值都超過汽車工業了     來源:140.115.219.17
 51.OGK            期待有專屬軟體資訊的討論板         來源:61.59.230.86
 52.dreamfire      我支持！                           來源:218.167.196.183
 53.daeam          蠻有存在的必要~ 支持囉~            來源:220.136.196.169
 54.cawayigainax   NEED                               來源:140.128.194.86
 55.dragonsky      感覺不錯                           來源:75.83.244.151
 56.Earrl          將要就業的我希望在本版得到相關資訊 來源:140.138.150.184
 57.Mysteltainn    希望有個專門討論軟體業的地方       來源:210.71.22.11
 58.galois         純支持                             來源:61.229.181.237
 59.aaronliu0719   身為軟體從業人員 一定要支持的啊！  來源:140.96.116.42
 60.NTUSTKnight    這個需要幫推一下                   來源:202.132.132.7
 61.PinPinky       軟體資訊業迫切需要，資工系學生可用 來源:220.134.159.178
 62.sanbis         資訊的入門檻變低了，工作比以前難找 來源:59.104.59.245
 63.THZ            剛開始找這類工作期望能有多點資訊:) 來源:60.198.129.148
 64.ilwu           雖然台灣以電子業為龍頭～但是軟體業 來源:122.124.98.178
 65.BENBENnet      就是推                             來源:221.169.15.145
 66.busgoer        路過幫推                           來源:61.226.90.99
 67.mocat          以後走這行 當然要支持!             來源:140.112.243.157
----------反對----------
  1.lightmyfire    有科技板                           來源:125.229.160.66
----------總計----------
支持人數:67       反對人數:1
--
                你我相逢在黑夜的海上                ▕
    你有你的，我有我的，方向            ▕ 
    你記得也好，最好你忘掉              ▕ 
    在這交會時互放的光亮！              ▕ 
▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔  
── 節錄  徐志摩．偶然
--
推 samurai7:TEST 06/18 13:03
推 xsoho:TTTTEST 06/27 11:47
推 free112136:不在考慮一下嗎？ 08/01 20:34","
推 samurai7:TEST 
推 xsoho:TTTTEST 
推 free112136:不在考慮一下嗎？ 
→ dnabossking: 如果是code我應該不會喊難，就算真的不會寫，因為 
→ dnabossking: 喊難，也太沒面子了 ",https://www.ptt.cc/bbs/Soft_Job/index1.html,1
1,搶頭香,,2007-06-14 14:40:56,eggimage,207.74.195.202,2,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181803258.A.666.html,"
呵呵
--
推 choufeng:哇！動作真快！ 06/14 14:52","
推 choufeng:哇！動作真快！ 
推 bluelink: 想去，有投了但是沒有回應 ",https://www.ptt.cc/bbs/Soft_Job/index1.html,2
2,[閒聊] 搶前五樓,閒聊,2007-06-14 14:52:23,synd,124.10.49.90,1,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181803945.A.314.html,"
狂賀開板～
軟體人要站起來啦～
--
--
推 choufeng:沒錯!!台灣軟體人要站起來 06/14 14:52","
推 choufeng:沒錯!!台灣軟體人要站起來 ",https://www.ptt.cc/bbs/Soft_Job/index1.html,3
3,恭喜開板 ^^,,2007-06-14 14:53:44,everforwind,140.112.91.4,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181804025.A.7A7.html,"
呵呵真高興有這個版，我也是唸資工的，最近剛要畢業，未來
應該也是從事和軟體有關的工作吧，希望大家能夠多分享相關
的資訊囉，賀開板成功 :D
--",,https://www.ptt.cc/bbs/Soft_Job/index1.html,4
4,喔耶,,2007-06-14 14:55:34,timohu,219.87.152.130,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181804135.A.20F.html,"
上班就是要掛PTT
這樣隨時有問題才找的到答案
XDDD
--",,https://www.ptt.cc/bbs/Soft_Job/index1.html,5
5,[恭喜] 終於開板啦,恭喜,2007-06-14 14:59:15,nooin,211.75.230.126,2,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181804356.A.1FA.html,"
每天都在看lifenewboard板說
怎麼這麼久還沒開板、還以為連署不夠勒
希望以後這邊能有一些軟體方面的交流 q_q
現在科技跟軟體資訊大爆炸，設定什麼的真的一個人稿不定..
阿、扯遠了...
總而言之、恭喜啦！
--
推 choufeng:呵呵!不好意思~終於還是開板了 ^^ 06/14 15:07","
推 choufeng:呵呵!不好意思~終於還是開板了 ^^ 
推 QoiiwWe: 這篇不錯啊剛好拿來檢視 ",https://www.ptt.cc/bbs/Soft_Job/index1.html,6
6,恭賀開板,,2007-06-14 15:03:23,sandra002002,140.112.115.2,5,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181804604.A.3F8.html,"
終於開板了……
很期待可以在這裡多多瞭解資訊軟體這個產業啊～
雖然我是學金融的，但對資訊軟體產業還蠻有興趣的～
男友也是資訊人，以後再跟大家多多交流嘍～
--
推 everforwind:可魯... 06/14 15:04
推 muller26:還好有自備墨鏡 ●.● 06/14 15:16
推 lcyeh:還好我瞎很久了，閃不到我XDD 06/14 15:17
推 nooin:這個板怎麼回事...還不到十篇就備閃瞎了.. 06/14 15:23
推 dspswen:●_●這不是資訊人該有的............... 06/14 16:26","
推 everforwind:可魯... 
推 muller26:還好有自備墨鏡 ●.● 
推 lcyeh:還好我瞎很久了，閃不到我XDD 
推 nooin:這個板怎麼回事...還不到十篇就備閃瞎了.. 
推 dspswen:●_●這不是資訊人該有的............... ",https://www.ptt.cc/bbs/Soft_Job/index1.html,7
7,[閒聊] 恭賀開板,閒聊,2007-06-14 15:11:53,muller26,210.208.83.253,1,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181805118.A.819.html,"
終於開板成功了，可喜可賀～
身為一個目前就是在這行混飯吃的SA，實在很高興終於有一個
可以和同行們交流的地方，大家要不要自介一下呀？ :p
--
「如果不知道該選那邊時，那就選該做的事。兩邊都是後悔，
  那就選後悔較小的那邊吧！」
---十二國記 半獸 樂俊
--
推 aaronliu0719:推樂俊....... 06/14 17:35","
推 aaronliu0719:推樂俊....... ",https://www.ptt.cc/bbs/Soft_Job/index1.html,8
8,[閒聊] 賀開板,閒聊,2007-06-14 15:16:37,lcyeh,220.136.181.163,1,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181805399.A.035.html,"
這還是我在PTT第一次參與新版連署
恭賀開板！
以前（很久已前）我也是個程式設計師
用的語言是COBOL和IBM S370組合語言
不過這兩種語言都很古老了
現在流行的似乎是Java，不論是就業還是考試，
都是居家旅行必備良藥 XDD
--","
推 marsyang1: 大推 ",https://www.ptt.cc/bbs/Soft_Job/index1.html,9
9,[閒聊] 恭賀開板,閒聊,2007-06-14 15:23:36,AdHocLZM,60.248.0.211,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181805817.A.CBF.html,"
終於有一個資訊業的版了
真是太好了
--",,https://www.ptt.cc/bbs/Soft_Job/index1.html,10
