,Date, Open, High, Low, Close, Volume
0,2018-04-12,166.98,167.45,163.1,163.87,38262956
1,2018-04-11,165.36,168.65,163.25,166.32,56144633
2,2018-04-10,157.93,165.98,157.01,165.04,58947041
3,2018-04-09,157.82,160.53,156.04,157.93,34915227
4,2018-04-06,157.73,161.42,156.81,157.2,41644812
5,2018-04-05,161.56,161.575,156.65,159.34,41449609
6,2018-04-04,152.025,155.56,150.51,155.1,49885584
7,2018-04-03,156.55,157.39,150.81,156.11,42543865
8,2018-04-02,157.81,159.2,154.111,155.39,36795991
9,2018-03-29,155.15,161.42,154.14,159.79,59434293
10,2018-03-28,151.65,155.88,150.8,153.03,60029170
11,2018-03-27,156.31,162.85,150.75,152.22,79116995
12,2018-03-26,160.82,161.1,149.02,160.06,126116634
13,2018-03-23,165.44,167.1,159.02,159.39,53609706
14,2018-03-22,166.13,170.27,163.72,164.89,73742979
15,2018-03-21,164.8,173.4,163.3,169.39,106598834
16,2018-03-20,167.47,170.2,161.95,168.15,129851768
17,2018-03-19,177.01,177.17,170.06,172.56,88140060
18,2018-03-16,184.49,185.33,183.41,185.09,24403438
19,2018-03-15,183.24,184.0,182.19,183.86,15645035
20,2018-03-14,182.6,184.25,181.85,184.19,16821728
21,2018-03-13,185.61,185.99,181.11,181.88,18067477
22,2018-03-12,185.23,186.1,184.22,184.76,15301229
23,2018-03-09,183.91,185.51,183.21,185.23,18188067
24,2018-03-08,183.56,184.4,181.45,182.34,17225946
25,2018-03-07,178.74,183.82,178.07,183.71,19097293
26,2018-03-06,181.78,182.38,179.11,179.78,15086784
27,2018-03-05,176.2,181.1475,175.89,180.4,16189280
28,2018-03-02,173.29,177.11,172.99,176.62,20025905
29,2018-03-01,179.01,180.12,174.41,175.94,23201626
30,2018-02-28,182.3,182.88,178.14,178.32,18783039
31,2018-02-27,184.45,184.7,181.46,181.46,15849806
32,2018-02-26,184.58,185.66,183.2228,184.93,17599703
33,2018-02-23,179.9,183.39,179.51,183.29,19007288
34,2018-02-22,178.7,180.21,177.41,178.99,18464192
35,2018-02-21,176.71,181.27,176.4,177.91,23200804
36,2018-02-20,175.77,177.95,175.11,176.01,21204921
37,2018-02-16,178.99,179.88,176.3,177.36,21015610
38,2018-02-15,180.5,180.5,176.84,179.96,20922120
39,2018-02-14,173.45,179.81,173.2119,179.52,28929704
40,2018-02-13,175.62,175.97,173.1,173.15,21809350
41,2018-02-12,177.06,177.545,171.84,176.41,32092133
42,2018-02-09,174.76,176.9,167.18,176.11,39887626
43,2018-02-08,181.01,181.84,171.4815,171.58,38478321
